manifesto_id,filename,path,municipality,state,party,party_abbreviation,election_year,election_type,document_type,mapping_method,mapping_status,city_abbreviation
GLMP-BCC8FFBE61,lb08spd.txt,manifestos/lb08spd.txt,Luebeck,Schleswig-Holstein,SPD,spd,2008.0,local election,Wahlprogramm,legacy_filename,ok,lb
GLMP-C24C2FD48C,mu08gru.txt,manifestos/mu08gru.txt,Muenchen,Bayern,Grüne,gru,2008.0,local election,Wahlprogramm,legacy_filename,ok,mu
GLMP-6647C388E9,wz08fdp.txt,manifestos/wz08fdp.txt,Wuerzburg,Bayern,FDP,fdp,2008.0,local election,Wahlprogramm,legacy_filename,ok,wz
GLMP-BB09B6CC9D,ac09cdu.txt,manifestos/ac09cdu.txt,Aachen,Nordrhein-Westfalen,CDU,cdu,2009.0,local election,Wahlprogramm,legacy_filename,ok,ac
GLMP-B80F5D68BD,ac09lin.txt,manifestos/ac09lin.txt,Aachen,Nordrhein-Westfalen,Die Linke,lin,2009.0,local election,Wahlprogramm,legacy_filename,ok,ac
GLMP-B4E839FBD2,ac09fdp.txt,manifestos/ac09fdp.txt,Aachen,Nordrhein-Westfalen,FDP,fdp,2009.0,local election,Wahlprogramm,legacy_filename,ok,ac
GLMP-E16B10BD1B,ac09gru.txt,manifestos/ac09gru.txt,Aachen,Nordrhein-Westfalen,Grüne,gru,2009.0,local election,Wahlprogramm,legacy_filename,ok,ac
GLMP-6C88BDE4EA,ac09spd.txt,manifestos/ac09spd.txt,Aachen,Nordrhein-Westfalen,SPD,spd,2009.0,local election,Wahlprogramm,legacy_filename,ok,ac
GLMP-C45D058BBB,bg09bfb.txt,manifestos/bg09bfb.txt,Bergisch Gladbach,Nordrhein-Westfalen,Bürger für Bergisch Gladbach und Benserg (BfBB),bfb,2009.0,local election,Wahlprogramm,legacy_filename,ok,bg
GLMP-7B1DDBBD94,bg09cdu.txt,manifestos/bg09cdu.txt,Bergisch Gladbach,Nordrhein-Westfalen,CDU,cdu,2009.0,local election,Wahlprogramm,legacy_filename,ok,bg
GLMP-5511499214,bg09kid.txt,manifestos/bg09kid.txt,Bergisch Gladbach,Nordrhein-Westfalen,Die Kinder- und Jugendpartei KIDitiative,kid,2009.0,local election,Wahlprogramm,legacy_filename,ok,bg
GLMP-6D733C93C3,bg09lin.txt,manifestos/bg09lin.txt,Bergisch Gladbach,Nordrhein-Westfalen,Die Linke,lin,2009.0,local election,Wahlprogramm,legacy_filename,ok,bg
GLMP-07AE47DAD1,bg09fdp.txt,manifestos/bg09fdp.txt,Bergisch Gladbach,Nordrhein-Westfalen,FDP,fdp,2009.0,local election,Wahlprogramm,legacy_filename,ok,bg
GLMP-9287B665A9,bg09gru.txt,manifestos/bg09gru.txt,Bergisch Gladbach,Nordrhein-Westfalen,Grüne,gru,2009.0,local election,Wahlprogramm,legacy_filename,ok,bg
GLMP-B253BB821A,bg09spd.txt,manifestos/bg09spd.txt,Bergisch Gladbach,Nordrhein-Westfalen,SPD,spd,2009.0,local election,Wahlprogramm,legacy_filename,ok,bg
GLMP-38CD6F6F60,bi09wgb.txt,manifestos/bi09wgb.txt,Bielefeld,Nordrhein-Westfalen,Bürgernähe - Initiativen für Bielefeld,wgb,2009.0,local election,Wahlprogramm,legacy_filename,ok,bi
GLMP-8D7B2DF3B6,bi09fdp.txt,manifestos/bi09fdp.txt,Bielefeld,Nordrhein-Westfalen,FDP,fdp,2009.0,local election,Wahlprogramm,legacy_filename,ok,bi
GLMP-AB2EA1CDC7,bi09gru.txt,manifestos/bi09gru.txt,Bielefeld,Nordrhein-Westfalen,Grüne,gru,2009.0,local election,Wahlprogramm,legacy_filename,ok,bi
GLMP-C914A15154,bi09spd.txt,manifestos/bi09spd.txt,Bielefeld,Nordrhein-Westfalen,SPD,spd,2009.0,local election,Wahlprogramm,legacy_filename,ok,bi
GLMP-A7C8FBEAC8,bo09cdu.txt,manifestos/bo09cdu.txt,Bochum,Nordrhein-Westfalen,CDU,cdu,2009.0,local election,Wahlprogramm,legacy_filename,ok,bo
GLMP-B3F7884318,bo09lin.txt,manifestos/bo09lin.txt,Bochum,Nordrhein-Westfalen,Die Linke,lin,2009.0,local election,Wahlprogramm,legacy_filename,ok,bo
GLMP-BCA21E69A6,bo09fdp.txt,manifestos/bo09fdp.txt,Bochum,Nordrhein-Westfalen,FDP,fdp,2009.0,local election,Wahlprogramm,legacy_filename,ok,bo
GLMP-BAF99FDBA0,bo09gru.txt,manifestos/bo09gru.txt,Bochum,Nordrhein-Westfalen,Grüne,gru,2009.0,local election,Wahlprogramm,legacy_filename,ok,bo
GLMP-9DF9A8E616,bo09spd.txt,manifestos/bo09spd.txt,Bochum,Nordrhein-Westfalen,SPD,spd,2009.0,local election,Wahlprogramm,legacy_filename,ok,bo
GLMP-A8441C190F,bn09bff.txt,manifestos/bn09bff.txt,Bonn,Nordrhein-Westfalen,Bündnis für Frieden und Fairness,bff,2009.0,local election,Wahlprogramm,legacy_filename,ok,bn
GLMP-9D8388BA74,bn09cdu.txt,manifestos/bn09cdu.txt,Bonn,Nordrhein-Westfalen,CDU,cdu,2009.0,local election,Wahlprogramm,legacy_filename,ok,bn
