state_name;state;rb;kreis;vb;gem;city;area;inhabitants_2024;
Sachsen;14;5;24;0250;250;Reinsdorf;21,25;7282;
Nordrhein-Westfalen;;;;;rs;Remscheid;74,52;113828;
Baden-Württemberg;8;4;15;0061;061;Reutlingen;87,04;118852;
Rheinland-Pfalz;7;3;34;5003;024;Rheinzabern;12,77;5018;
Saarland;10;0;41;0517;517;Riegelsberg;14,65;14360;
Sachsen;14;5;22;5126;490;Rochlitz;23,76;5688;
Rheinland-Pfalz;7;3;33;5007;502;Rockenhausen;36,83;5397;
Rheinland-Pfalz;7;3;40;5004;038;Rodalben;15,69;6675;
Thüringen;16;0;69;0062;062;Römhild;122,45;6661;
Mecklenburg-Vorpommern;13;0;03;0000;000;Rostock;181,36;205307;
Thüringen;16;0;73;0077;077;Saalfeld (Saale);145,56;29224;
Saarland;10;0;41;0100;100;Saarbrücken;167,52;182971;
Saarland;10;0;44;0116;116;Saarwellingen;41,67;13302;
Niedersachsen;;;;;sa;Salzgitter;224,49;104970;
Sachsen-Anhalt;15;0;81;0455;455;Salzwedel;304,57;23543;
Baden-Württemberg;8;2;26;0076;076;Sandhausen;14,55;15455;
Sachsen-Anhalt;15;0;87;0370;370;Sangerhausen;207,71;25441;
Baden-Württemberg;8;3;15;5014;098;Schallstadt;19,56;6499;
Sachsen;14;6;25;0525;525;Schirgiswalde-Kirschau;24,34;6057;
Thüringen;16;0;75;0098;098;Schleiz;108,21;8866;
Brandenburg;12;0;60;0198;198;Schorfheide;238,18;10252;
Mecklenburg-Vorpommern;13;0;72;5261;095;Schwaan;38,28;5070;
Baden-Württemberg;8;1;36;5007;065;Schwäbisch Gmünd;113,81;62325;
Mecklenburg-Vorpommern;13;0;04;0000;000;Schwerin;130,52;98596;
Brandenburg;12;0;64;0448;448;Seelow;42,73;5628;
Nordrhein-Westfalen;;;;;si;Siegen;114,69;102685;
Baden-Württemberg;8;4;37;5006;104;Sigmaringen;92,84;18375;
Baden-Württemberg;8;1;15;0045;045;Sindelfingen;50,83;64995;
Nordrhein-Westfalen;;;;;sg;Solingen;89,54;165626;
Thüringen;16;0;68;0051;051;Sömmerda;87,56;19156;
Thüringen;16;0;72;0018;018;Sonneberg;84,69;23507;
Rheinland-Pfalz;7;3;18;0000;000;Speyer;42,71;51368;
Saarland;10;0;43;0117;117;Spiesen-Elversberg;11,42;12797;
