filename;content_hash;bytes;document_type;program_scope;classification_reason;municipality_used;party;election_year;matched_main_by_content;matched_main_filenames;document_id;main_use_id;ags;ags_source
Waiblingen_FWG_2024.txt;db60dd3ea30e0803b8dc21a81fca9b9c85838886902e34adbe97ae1d897341ce;3726;anderes kommunales Wahlprogramm;Region;expliziter Bezug auf Region Stuttgart;Waiblingen;FWG;2024;no;;DOC-db60dd3ea30e;;08119079;local_cities_components
Wallerfangen_Linke_2024.txt;488fb40791990841e8ebf6c4bb61c3be3645940988ba66d83a0d24e23e080c32;5065;anderes kommunales Wahlprogramm;Land;"general Die-Linke Saarland municipal policy programme; not a municipality-specific council programme";Wallerfangen;Linke;2024.0;yes;Wallerfangen_Linke_2024.txt;DOC-488fb4079199;USE-5e33a3866f1c;10044121;local_cities_components
Weiskirchen_CDU_2024.txt;46c0562fb1d7d2ee2f442ecb5c39be659d3e14ea677ebd1c28bfb532ccb4d4a2;17551;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Weiskirchen;CDU;2024.0;yes;Weiskirchen_CDU_2024.txt;DOC-46c0562fb1d7;USE-6377cef443dd;10042117;local_cities_components
Winnweiler_CDU_2024.txt;8d9b1997e8e1dd7f19c9a453ac0045c0a8a253d2d7d79d6b0f52a9a80aeb03d7;42913;anderes kommunales Wahlprogramm;Land;Landesverband/Landesebene explizit;Winnweiler;CDU;2024.0;yes;Winnweiler_CDU_2024.txt;DOC-8d9b1997e8e1;USE-3cc00c455eaa;07333503;local_cities_components
Winnweiler_Grüne_2024.txt;a7450dacb31b9ee3d92f9d0927fcede569cb45c4e214111f2835ec3c61e33e96;22099;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Winnweiler;Grüne;2024.0;yes;Winnweiler_Grüne_2024.txt;DOC-a7450dacb31b;USE-a010057c1bc2;07333503;local_cities_components
Wutha-Farnroda_Linke_2024.txt;d76f417744e7ac046e196abf7bf68d2322f9039d4546475a9fba8dc56ecbc65d;28355;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Wutha-Farnroda;Linke;2024.0;yes;Wutha-Farnroda_Linke_2024.txt;DOC-d76f417744e7;USE-845a8d416a89;16063092;local_cities_components
Zerbst_AfD_2024.txt;54140f80b3029d79b8ba9c886bd99988b482ad1e444fcd7384703cba6c0247e6;22508;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Zerbst;AfD;2024.0;yes;Zerbst_AfD_2024.txt;DOC-54140f80b302;USE-c21dba8df068;15082430;local_cities_components
Zossen_AfD_2024.txt;e559105e374a4edf769e8b5ddcbddd918447ea29a075eb8ee53139db5c95c805;4631;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Zossen;AfD;2024.0;yes;Zossen_AfD_2024.txt;DOC-e559105e374a;USE-40c759f7500a;12072477;local_cities_components
Zossen_Linke_2024.txt;e2d482956d7831e5475b51650dcea7d2a52d806ac6c594979789ca5a37b87f17;6165;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;explizite Doppeladressierung Kreis/Gemeinden;Zossen;Linke;2024.0;yes;Zossen_Linke_2024.txt;DOC-e2d482956d78;USE-a72edf770090;12072477;local_cities_components
Zschorlau_SPD_2024.txt;d27f9fc881e9b8ad470737b9b74729e43b82935b40daccd815c95d617b8a6ae5;12049;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;"same SPD-Erzgebirge programme; reused across municipalities";Eibenstock;SPD;2024.0;yes;Eibenstock_SPD_2024.txt|Zschorlau_SPD_2024.txt;DOC-d27f9fc881e9;USE-eb06a2f3f113|USE-ea47b72618de;14521170;local_cities_components
Zwickau_FDP_2024.txt;d8f9278fcf9698c6e544ed3227fa73a6b823cc5d214cbee80ac75328e2679ef8;8823;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Zwickau;FDP;2024.0;yes;Zwickau_FDP_2024.txt;DOC-d8f9278fcf96;USE-401d047ed9ce;14524330;local_cities_components
Zwickau_Linke_2024.txt;2433395ed967bf51ecb7f359dc846e7d4f3b2dc2398476c0f37cbd86d7cb01df;1850;anderes kommunales Wahlprogramm;Landkreis;expliziter Kreis-/Landkreisbezug;Zwickau;Linke;2024.0;yes;Zwickau_Linke_2024.txt;DOC-2433395ed967;USE-1c23d07003c9;14524330;local_cities_components
