document_use_id;document_id;manifesto_id;municipality;state;ags;party;party_abbreviation;election_year;document_type;program_scope;use_type;filename;source;content_hash;ags_source
USE-36959afd86b5;DOC-803a14ab89fb;GLMP-5FCF999922;Frankfurt am Main;Hessen;06412000;Die Frauen;die;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ff01die.txt;main;803a14ab89fb1525b9b02dc9952c6bbf077665562b8d87ddfade52a6da0adf15;manual_2024_reference
USE-5ff89f048829;DOC-f937ee3e2e12;GLMP-D3D6636029;Frankfurt am Main;Hessen;06412000;FlughafenAusbauGegner;fag;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ff01fag.txt;main;f937ee3e2e121401ec0916382d877edd7d5d1293c2926921e146d0680cc7bb3f;manual_2024_reference
USE-5418e5c238a1;DOC-38f867d70f61;GLMP-4B14C4AAE2;Kassel;Hessen;06611000;CDU;cdu;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ka01cdu.txt;main;38f867d70f61e1f45cb2897a6ab42d09ab2d191ba57b079b728a540984d9fca6;manual_2024_reference
USE-0fb36ad46871;DOC-e75244b09865;GLMP-7435AB24C0;Kassel;Hessen;06611000;Die Linke;lin;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ka01lin.txt;main;e75244b098653a943ddc1cee61557aa0363a04e3171f8b82fe3f279bfcbc656a;manual_2024_reference
USE-893d0bb2a1b6;DOC-d28af60cbe68;GLMP-3113A5A9AD;Kassel;Hessen;06611000;FDP;fdp;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ka01fdp.txt;main;d28af60cbe68fac67c7431318858c019d319709b216c3d9cb7c46c3256f04203;manual_2024_reference
USE-fd8ab5f60339;DOC-1631f9955667;GLMP-2C1908EB1B;Kassel;Hessen;06611000;Freie Wähler;fwg;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ka01fwg.txt;main;1631f9955667eddb47f6d0db06f369654366e9adca095f8965434669b489c7b9;manual_2024_reference
USE-f85baa1b8746;DOC-c05d75353154;GLMP-7D8A3E2EFB;Kassel;Hessen;06611000;Grüne;gru;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ka01gru.txt;main;c05d75353154f63736275f644263d82b66dd361d9c971348f76a85fd03c03558;manual_2024_reference
USE-91cb8f57dec9;DOC-810bbb40b5b4;GLMP-72046AECB3;Offenbach am Main;Hessen;06413000;Die Linke;lin;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;of01lin.txt;main;810bbb40b5b4482743fc4155298824a08192ad34cf39467115f73cfa9a8966d6;manual_2024_reference
USE-f793ae536a8c;DOC-4550784621e5;GLMP-5FA0E46AB5;Offenbach am Main;Hessen;06413000;FDP;fdp;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;of01fdp.txt;main;4550784621e598fbd8322fcc2d381ab2377df02c37f82b73116348ebd80762bf;manual_2024_reference
USE-98691cb42f84;DOC-1765c8c2c429;GLMP-BC27C241F6;Offenbach am Main;Hessen;06413000;Grüne;gru;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;of01gru.txt;main;1765c8c2c42989af36aa412daebc3037daa95849ef3e232ffaaf4a50b1ebf226;manual_2024_reference
USE-c3a28955ab30;DOC-3bbbfebf0302;GLMP-275B140B5F;Wiesbaden;Hessen;06414000;Die Linke;lin;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;wi01lin.txt;main;3bbbfebf03021a9b2b6f8fe240324f49f908526d10399e0fbc7507547a651ad0;manual_2024_reference
USE-16a02fc2ea66;DOC-175ef76a5e98;GLMP-D308FB959A;Wiesbaden;Hessen;06414000;FDP;fdp;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;wi01fdp.txt;main;175ef76a5e9828ef07754f3e44170c4135dd939b97703135a5175120c8237a43;manual_2024_reference
USE-811fff6fd5e5;DOC-1329be815673;GLMP-EE2D3C58F8;Aachen;Nordrhein-Westfalen;05334002;Gemeinsam gegen Sozialkahlschlag (GGS);ggs;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ac04ggs.txt;main;1329be815673194fc873ad31add0d529c7bb522e99cc72769a890fd82ebd3ff2;manual_2024_reference
USE-86f1902ef877;DOC-e5d68f1ce7ac;GLMP-A169AE4653;Aachen;Nordrhein-Westfalen;05334002;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;ac04spd.txt;main;e5d68f1ce7ac846ebdfdffdbb7eb6ed54d9e0cacf5206ca9d39e75b5a1fee529;manual_2024_reference
USE-32dbbffd8898;DOC-9c45ff7a7b0b;GLMP-C59B170C58;Bielefeld;Nordrhein-Westfalen;05711000;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bi04gru.txt;main;9c45ff7a7b0b88ad2fe447f85049a8e3560e2a0176e19d311fb0767652991e44;manual_2024_reference
USE-b2ffbd6dd624;DOC-992e35ae3c90;GLMP-3C92C20C1E;Bochum;Nordrhein-Westfalen;05911000;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bo04cdu.txt;main;992e35ae3c907792622503fbdc87bbb83ce43cb2bff3a8c4cb12eb2eb1fe46be;manual_2024_reference
USE-50a0fd46d138;DOC-6148376c4bbe;GLMP-878F5D02EE;Bochum;Nordrhein-Westfalen;05911000;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;main_corpus_observation;bo04fdp.txt;main;6148376c4bbeb9590d594081b882d6b6ff927506c04e508443ca2acdc2c805be;manual_2024_reference
