source;filename;content_hash;bytes;manifesto_id;municipality;state;party;party_abbreviation;election_year;document_type;program_scope;classification_reason;path
main;ka01fwg.txt;1631f9955667eddb47f6d0db06f369654366e9adca095f8965434669b489c7b9;43058;GLMP-2C1908EB1B;Kassel;Hessen;Freie Wähler;fwg;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka01fwg.txt
main;ka01gru.txt;c05d75353154f63736275f644263d82b66dd361d9c971348f76a85fd03c03558;167914;GLMP-7D8A3E2EFB;Kassel;Hessen;Grüne;gru;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ka01gru.txt
main;of01lin.txt;810bbb40b5b4482743fc4155298824a08192ad34cf39467115f73cfa9a8966d6;109784;GLMP-72046AECB3;Offenbach am Main;Hessen;Die Linke;lin;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/of01lin.txt
main;of01fdp.txt;4550784621e598fbd8322fcc2d381ab2377df02c37f82b73116348ebd80762bf;179087;GLMP-5FA0E46AB5;Offenbach am Main;Hessen;FDP;fdp;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/of01fdp.txt
main;of01gru.txt;1765c8c2c42989af36aa412daebc3037daa95849ef3e232ffaaf4a50b1ebf226;43103;GLMP-BC27C241F6;Offenbach am Main;Hessen;Grüne;gru;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/of01gru.txt
main;wi01lin.txt;3bbbfebf03021a9b2b6f8fe240324f49f908526d10399e0fbc7507547a651ad0;7610;GLMP-275B140B5F;Wiesbaden;Hessen;Die Linke;lin;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/wi01lin.txt
main;wi01fdp.txt;175ef76a5e9828ef07754f3e44170c4135dd939b97703135a5175120c8237a43;62085;GLMP-D308FB959A;Wiesbaden;Hessen;FDP;fdp;2001.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/wi01fdp.txt
main;ac04ggs.txt;1329be815673194fc873ad31add0d529c7bb522e99cc72769a890fd82ebd3ff2;13739;GLMP-EE2D3C58F8;Aachen;Nordrhein-Westfalen;Gemeinsam gegen Sozialkahlschlag (GGS);ggs;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ac04ggs.txt
main;ac04spd.txt;e5d68f1ce7ac846ebdfdffdbb7eb6ed54d9e0cacf5206ca9d39e75b5a1fee529;29475;GLMP-A169AE4653;Aachen;Nordrhein-Westfalen;SPD;spd;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/ac04spd.txt
main;bi04gru.txt;9c45ff7a7b0b88ad2fe447f85049a8e3560e2a0176e19d311fb0767652991e44;42289;GLMP-C59B170C58;Bielefeld;Nordrhein-Westfalen;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bi04gru.txt
main;bo04cdu.txt;992e35ae3c907792622503fbdc87bbb83ce43cb2bff3a8c4cb12eb2eb1fe46be;102899;GLMP-3C92C20C1E;Bochum;Nordrhein-Westfalen;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bo04cdu.txt
main;bo04fdp.txt;6148376c4bbeb9590d594081b882d6b6ff927506c04e508443ca2acdc2c805be;45559;GLMP-878F5D02EE;Bochum;Nordrhein-Westfalen;FDP;fdp;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bo04fdp.txt
main;bo04gru.txt;bff11fc0350a030b072327e78cbf68b5f7181bbd90c9ba971de435707943cc49;127963;GLMP-F6FA65D8C5;Bochum;Nordrhein-Westfalen;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bo04gru.txt
main;bn04cdu.txt;d105ac53e82120de3bcdeaa2eb7a19d032522f5d28cf3982861a0bcc5401f295;47520;GLMP-09644ECC4C;Bonn;Nordrhein-Westfalen;CDU;cdu;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bn04cdu.txt
main;bn04gru.txt;9f75474a653ca286c9c5f5e2419bf83283bfb01d05a518d24494693b625ef6a9;155762;GLMP-4EB03F034B;Bonn;Nordrhein-Westfalen;Grüne;gru;2004.0;Kommunalwahlprogramm Gemeinde;Gemeinde;Hauptkorpus: kommunales Wahlprogramm der Gemeinde;manifestos/bn04gru.txt
