document_id;filename;document_type;program_scope;election_year;content_hash;bytes;source_count;main_file_count;other_file_count
DOC-0ce94352ee97;fr14lin.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0ce94352ee97b7a5ad1f18f2095a0454c71a2209deb7a6a239925921e76955f6;6959;1;1;0
DOC-0ced15668383;Heidelberg_SPD_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0ced156683835845a50344f03a1632df75cb154b27261ab09e7290e94eccb43f;124870;1;1;0
DOC-0cefa4757bef;hm14fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0cefa4757bef61e1bbdd92d31e73194febc5f68f488db4c9791f05cb48b24eed;36967;1;1;0
DOC-0cf5e23ae870;Ulm_FDP_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0cf5e23ae8708cb91a944c135e7a2e14f99395519c6ad5c329d9998d8222eaaa;17026;1;1;0
DOC-0d2835baeda2;ne14fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0d2835baeda254ba91beedc843afdd52a2f8c8c1a95369def8683f3145d46451;58077;1;1;0
DOC-0d5970bc4dd7;bo20par.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0d5970bc4dd741d3d634c61cdb1799977952b66d752543d6bb04b74af431b0c3;6666;1;1;0
DOC-0d79d1fddc1c;ff16pir.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2016.0;0d79d1fddc1ceddd1fe74e7519c78b0570f3c9823d37baa32f2986946abff01f;6347;1;1;0
DOC-0d7bf1e105ec;wi16cdu.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2016.0;0d7bf1e105ec51584202d13f0b4779731e220a5f9acedb82f384bb8e8cf7b78c;243647;1;1;0
DOC-0d897556697e;Dillingen (Saar)_FDP_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0d897556697e154be40bcf0107439b1e2a0e046ede97e2cb58296387b870e54c;1633;1;1;0
DOC-0d8ac668a7cb;Nohfelden_CDU_2024.txt;anderes kommunales Wahlprogramm;Landkreis;2024.0;0d8ac668a7cbaaa204de913acbfbc7b97db185276c73bd70ed0fadd3398d4e7e;54527;2;1;1
DOC-0d9539b07c8c;au20lin.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0d9539b07c8ce16d6427e6e2fa75aaa410592df840968e46613c993f32970ee2;52288;1;1;0
DOC-0d974816e571;Koblenz_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0d974816e571d3bc013cc2d710889468607dbd26d79f78e0655cc88b3dbea0dc;30143;1;1;0
DOC-0dac5d878185;Premnitz_SPD_2024.txt;anderes kommunales Wahlprogramm;Landkreis;2024.0;0dac5d878185c1af61a719da0e81452e45968c2d81ddf756308ca59326b0c9c9;27336;2;1;1
DOC-0dc0bc1c6b92;Schorfheide_WIR_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0dc0bc1c6b922271d07a4a23b9ee9b1c3c35626f0a7f8af7e6115c04f2f85df5;3403;1;1;0
DOC-0dc1bd76ebe7;mg09spd.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2009.0;0dc1bd76ebe7886a363b1f3a398a83c50313f1d6c23848d6301ab9e0df4e24a9;41542;1;1;0
DOC-0de6ff994f4c;Weißenfels_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0de6ff994f4c56ffcc20ef05a1a5d2f1db3ec09c50b60a292c27d8b9eae8c9bc;13824;1;1;0
DOC-0dea4e218ec0;ms20mib.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0dea4e218ec01f714302bd581514ce964834e899deb34540c04e12142b41ffa7;15873;1;1;0
DOC-0e2392ad5907;mo20par.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0e2392ad5907632e2560b0154ec1e6c2deed5d6d86dccf5233a5d16d6383de2d;3270;1;1;0
DOC-0e52f9b7e295;Rastatt_SPD_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0e52f9b7e295f2735f0fff095f2d14654bab7eaa572d7b64e948c71ad96a06a7;9586;1;1;0
DOC-0e5bb3545ade;Plau am See_CDU_2024.txt;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;2024.0;0e5bb3545ade354e35eef9e6070ce4f6d0db86596a29dad27f1e6781ac668f4c;56081;2;1;1
DOC-0e87925d7591;mu20fdp.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0e87925d75919061fc01b78a05c77a96d70df3739413f276e979c6fbe8a667d2;138771;1;1;0
DOC-0e88282409e6;Saalfeld (Saale)_Bürger für Thüringen_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0e88282409e62a0465d36673c28c6aec9de835a4c6a9cce02f9f8b77b8851807;3014;1;1;0
DOC-0e8922f1e624;Stuttgart_AfD_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0e8922f1e624f072734d784874d0a2efe15047525b95c290548a786594592354;72041;1;1;0
DOC-0e98c003a5d9;Brandenburg an der Havel_CDU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0e98c003a5d9fb119514205672371d4627909326acd28bef12240a1c6fec129f;11285;1;1;0
DOC-0f08ec0b0cdf;Frohburg_Linke_2024.txt;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;2024.0;0f08ec0b0cdf98b11d39eda8bab20885e3b3b8a18256f2b2acfb768496fb60b9;6620;2;1;1
DOC-0f2d7d93b593;Böblingen_Linke_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0f2d7d93b593879c7e83ffc47a920a89be79d4bd281918ce6efdcecf2f2cfe23;9449;1;1;0
DOC-0f60abb230a6;rs20lin.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0f60abb230a6f7609b5341bc96882f4d72815048c4a75450f411a3476c8a22b3;92789;1;1;0
DOC-0f877e03b95b;kb14gru.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2014.0;0f877e03b95b71060d2fda1dc7c8bfa971610957862cd22fee966f7d40784ce9;66838;1;1;0
DOC-0fb410a301ef;Barleben_Linke_2024.txt;anderes kommunales Wahlprogramm;Landkreis und Gemeinden;2024.0;0fb410a301efa6936481e6be23ae0385d96739cf2068d74923a7fbeca93bc703;4176;2;1;1
DOC-0fb79a86a368;Hüfingen_LBU_2024.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2024.0;0fb79a86a368a45aaf2847966f070617f7276926faca6b3c32d07862044bb356;17988;1;1;0
DOC-0fbe98a7db3f;in20udi.txt;Kommunalwahlprogramm Gemeinde;Gemeinde;2020.0;0fbe98a7db3fd41024aeb262021f5fd3f9babe9c2cee6f540ad45063b98fe4d3;7149;1;1;0
